AOD75399,Storage Mite
ADK22841,Prickly Saltwort
CAB44256,Asthma Weed
ACP43298,Redroot Pigweed
AIV43662,Needle bush
AHY24177,Mesquite
AAD29414,Apple
CAI23765,Sweet Orange
AAL91662,Almonds
AAD29411,Sweet Cherry
CAD37201,Peach
CCP19647,Pellitory-of-the-Wall
CAA75312,Para Rubber Tree
CAD10377,Tomato
CAD10376,Bell Pepper
AAD55587,Peanut
CAA11756,Soyabean
ABU95412,Yellow Mustard
AAW69549,Musk Melon
AAU43733,Water Melon
AAK01235,European Hazel
XP_004287490,Strawberry
AAD29413,Apple
CAD37202,Peach
CAA73035,Olive
CAA73720,Annual Mercury
AAA16522,European White Birch
CAA75506,Sunflower
CAD12861,Mugwort
AAX77687,Common ragweed
CAD12862,Mugwort
AAK54835,Pineapple
AAA92503,Barley
CAA61943,Wheat
AAW81034,Saffron Crocus
AAD29409,Celery
AAL76933,Carrot
AAL92870,Lamb's-quarters
AAK54834,Banana
CAA54686,Timothy Grass
CAA51718,Maize
CAA69670,Bermuda Grass
AAG32056,Rice
CAD10390,Date Palm
AAD29412,Apple
AAD29410,Pear
AAF34341,Para Rubber Tree
AAL07320,Lychee
AAD29409,Celery
C0HL99,Kiwi Fruit
P85984,Sugar Beet
