P85204,Gold kiwi fruit
P86137,Kiwi fruit
AAB51146,Common ragweed
AAL91665,Cashew
ACV04796,Celery
AAK96887,Peanut
P0C088,Mugwort
AAA33010,Brazil nut
P80207,Indian mustard
P80208,Rape
CAA46782,Turnip
CCK33472,Hemp
AAO32314,Pecan
P84160,Lemon
P84161,Sweet orange
ACO56333,European hazel
AAK28533,European hazel
ABC18306,Common buckwheat
ADW27428,Tartarian buckwheat
CAC86258,Strawberry
Q9S8F3,Soybean
AAP47226,Sunflower
AAL25839,Para rubber tree
CAA45085,Barley
AAM54365,Black walnut
AAB41308,English walnut
AAX35807,Lentil
AAT80633,Apple
P85894,Black mulberry
CAA54587,Pellitory-of-the-Wall
ADC80502,Kidney bean
CTQ87571,Stone pine
AJG44053,Garden pea
ABG73108,Pistachio
ABY21307,Oriental plane tree
P81651,Apricot
AAF26449,Sweet cherry
P82534,Plum
ACN11576,Almond
P81402,Peach
AHB19227,Pomegranate
AAF26451,Pear
CAA38097,Castor bean
ABG54494,Red raspberry
Q9S8H2,Rye
AAK15088,Sesame
CAA62909,Yellow mustard
AAB42069,Tomato
BAN29066,Wheat
AAO33394,Grape
AAA33493,Maize
